run_id,launched_at,system,level,arm,predictor,score_mode,d2_ratio,seed,n_members,k_acq,cluster,job_id,status,epochs_on_disk,dir_state,code_hash,output_dir,notes
q2d_cs_dir00_s43,2026-08-20T13:14:22,quadrotor2d_stoch,corridor_sine_ambient/smooth,dir00_s43,fm_ensemble,direct,0.0,43,5,20,ilab,214942,launched,24,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_dir00_s43,"RETURNED from Amarel to iLab 2026-08-20 13:14. The Amarel clone is 308 commits / 295 files behind origin, with 29 of those also locally modified, so it cannot be brought current safely -- three separate stale-code failures (npz filename indices, missing yield acquisition configs, a 3-column state reaching the 6-D normalize_state). All Amarel attempts wrote 0 artifacts. Do not route quadrotor work there without a FRESH clone."
q2d_cs_dir00_s44,2026-08-20T13:14:22,quadrotor2d_stoch,corridor_sine_ambient/smooth,dir00_s44,fm_ensemble,direct,0.0,44,5,20,ilab,214943,launched,24,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_dir00_s44,"RETURNED from Amarel to iLab 2026-08-20 13:14. The Amarel clone is 308 commits / 295 files behind origin, with 29 of those also locally modified, so it cannot be brought current safely -- three separate stale-code failures (npz filename indices, missing yield acquisition configs, a 3-column state reaching the 6-D normalize_state). All Amarel attempts wrote 0 artifacts. Do not route quadrotor work there without a FRESH clone."
q2d_cs_epi_var_anch,2026-08-20T13:14:22,quadrotor2d_stoch,corridor_sine_ambient/smooth,epi_var_anch,fm_ensemble,decomp_epi_var,0.5,42,5,20,ilab,214944,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_epi_var_anch,"RETURNED from Amarel to iLab 2026-08-20 13:14. The Amarel clone is 308 commits / 295 files behind origin, with 29 of those also locally modified, so it cannot be brought current safely -- three separate stale-code failures (npz filename indices, missing yield acquisition configs, a 3-column state reaching the 6-D normalize_state). All Amarel attempts wrote 0 artifacts. Do not route quadrotor work there without a FRESH clone."
q2d_cs_yield_a1,2026-08-20T13:14:22,quadrotor2d_stoch,corridor_sine_ambient/smooth,yield_a1,fm_ensemble,decomp_epi_var_yield,1.0,42,5,20,ilab,214945,launched,16,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_yield_a1,"RETURNED from Amarel to iLab 2026-08-20 13:14. The Amarel clone is 308 commits / 295 files behind origin, with 29 of those also locally modified, so it cannot be brought current safely -- three separate stale-code failures (npz filename indices, missing yield acquisition configs, a 3-column state reaching the 6-D normalize_state). All Amarel attempts wrote 0 artifacts. Do not route quadrotor work there without a FRESH clone."
q2d_cs_dir00_s42,2026-08-20T12:21:07,quadrotor2d_stoch,corridor_sine_ambient/smooth,dir00_s42,fm_ensemble,direct,0.0,42,5,20,westeros,pid_2753466,launched,24,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_dir00_s42,"RELOCATED to westeros (direct box, no scheduler) -- iLab 12-GPU quota was saturated. tmux session, job-id is the pane PID not a SLURM id; registry row in slurm_logs/direct_jobs.tsv. Output is on shared /common/users so it is readable from iLab. Supersedes the earlier cluster=ilab record for this run_id."
q2d_cs_epi_bald,2026-08-20T12:21:07,quadrotor2d_stoch,corridor_sine_ambient/smooth,epi_bald,fm_ensemble,decomp_epi_bald,1.0,42,5,20,westeros,pid_2753488,launched,24,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_epi_bald,"RELOCATED to westeros (direct box, no scheduler) -- iLab 12-GPU quota was saturated. tmux session, job-id is the pane PID not a SLURM id; registry row in slurm_logs/direct_jobs.tsv. Output is on shared /common/users so it is readable from iLab. Supersedes the earlier cluster=ilab record for this run_id."
q2d_cs_epi_var,2026-08-20T12:21:07,quadrotor2d_stoch,corridor_sine_ambient/smooth,epi_var,fm_ensemble,decomp_epi_var,1.0,42,5,20,westeros,pid_2753474,launched,24,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_epi_var,"RELOCATED to westeros (direct box, no scheduler) -- iLab 12-GPU quota was saturated. tmux session, job-id is the pane PID not a SLURM id; registry row in slurm_logs/direct_jobs.tsv. Output is on shared /common/users so it is readable from iLab. Supersedes the earlier cluster=ilab record for this run_id."
q2d_cs_yield_mlp,2026-08-20T12:21:07,quadrotor2d_stoch,corridor_sine_ambient/smooth,yield_mlp,fm_ensemble,decomp_yield_mlp,1.0,42,5,20,westeros,pid_2834328,launched,23,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_cs_yield_mlp,"RELOCATED to westeros (direct box, no scheduler) -- iLab 12-GPU quota was saturated. tmux session, job-id is the pane PID not a SLURM id; registry row in slurm_logs/direct_jobs.tsv. Output is on shared /common/users so it is readable from iLab. Supersedes the earlier cluster=ilab record for this run_id."
q2d_nd_partx,2026-08-20T12:21:07,quadrotor2d_stoch,noisy_dynamics/f_0.150,partx,gp,partx,1.0,42,5,20,westeros,pid_2753408,launched,24,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_partx,"RELOCATED to westeros (direct box, no scheduler) -- iLab 12-GPU quota was saturated. tmux session, job-id is the pane PID not a SLURM id; registry row in slurm_logs/direct_jobs.tsv. Output is on shared /common/users so it is readable from iLab. Supersedes the earlier cluster=ilab record for this run_id."
q2d_nd_yield_a1,2026-08-20T12:21:07,quadrotor2d_stoch,noisy_dynamics/f_0.150,yield_a1,fm_ensemble,decomp_epi_var_yield,1.0,42,5,20,westeros,pid_2753424,launched,24,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/quadrotor_stoch/q2d_nd_yield_a1,"RELOCATED to westeros (direct box, no scheduler) -- iLab 12-GPU quota was saturated. tmux session, job-id is the pane PID not a SLURM id; registry row in slurm_logs/direct_jobs.tsv. Output is on shared /common/users so it is readable from iLab. Supersedes the earlier cluster=ilab record for this run_id."
